110221,0,0,80477,0,533202
90237,0,10038,20038,0,321524
80201,10044,0,20035,0,422063
80207,0,10029,20050,0,308718
90234,0,0,20049,0,320267
90237,0,10026,20053,0,312860
90228,0,10026,20053,0,318983
90237,0,0,30079,0,314720
80204,10027,0,20052,0,317454
90237,0,10026,20053,0,310385
90231,0,10029,20047,0,317527
80210,10029,0,20050,0,313090
90199,0,0,20076,0,319862
100263,0,10026,20041,10041,321128
90035,0,0,30087,0,335040
90237,0,0,20305,0,320796
100260,0,0,30079,0,313142
90077,0,10024,20052,0,311754
90009,0,0,20053,0,402630
80208,10026,0,20053,0,317351
