0,0,85194,120571,30062,80031,723900,0,0
0,0,75756,120330,20049,80213,441837,0,0
0,0,90015,110306,30079,70184,542375,0,0
0,0,88604,110204,30078,80214,419004,0,0
0,0,89716,119465,20050,80216,430550,0,0
0,0,109427,110287,30078,70184,433176,0,0
0,0,90504,120272,30082,70190,439290,0,0
0,0,112127,109880,30078,70184,435036,0,0
0,0,90262,110289,30278,80023,437789,0,0
0,0,89949,110298,30078,70184,430701,0,0
0,0,100061,120514,20053,80020,437834,0,0
0,0,100001,120324,20053,80210,423379,0,0
0,0,90450,110352,30085,80287,430137,0,0
0,0,80538,140055,40113,80208,471281,0,0
0,0,100206,120321,30340,80145,455162,0,13.1429
0,0,85930,120677,30076,79960,431338,0,13.1429
0,0,79456,120322,20052,80213,443481,0,13.1429
0,0,96659,120332,30079,70346,431907,9099,13.1429
0,0,83310,117944,20052,80438,512692,0,13.1429
0,0,78217,110280,30079,80213,427638,0,13.1429
